Corps ;Activité;Produit;Variété;Pondérations variétés produits des prix de vente moyens TTC (DH);Pondérations  produits actvités des prix de vente moyens TTC (DH);Pondérations activités sous-corps de métiers des prix de vente moyens TTC (DH);Pondérations sous-corps au corps de métiers des prix de vente moyens TTC (DH);Pondérations corps de métiers au secteur des prix de vente moyens TTC (DH)
Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 ;0.88;0.27;0.26;1;0.48
Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10/20/40-50;0.12;0.27;0.26;1;0.48
Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52 ;0.75;0.23;0.26;1;0.48
Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52;0.25;0.23;0.26;1;0.48
Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou en PVC;Diam 100 à 150 mm;0.25;0.02;0.26;1;0.48
Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou en PVC;Diam 200 à 300 mm;0.75;0.02;0.26;1;0.48
Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures ;T3 ou T4;1;0.01;0.26;1;0.48
Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;12-16/20;0.8;0.25;0.26;1;0.48
Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;20/20;0.2;0.25;0.26;1;0.48
Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;20/20;1;0.22;0.26;1;0.48
Gros œuvre;Ciment;Ciment CPJ 35;CPJ 35;1;0.4;0.24;1;0.48
Gros œuvre;Ciment;Ciment CPJ 45;CPJ 45;1;0.6;0.24;1;0.48
Gros œuvre;Matériaux de construction en terre cuite;Briques creuses;6T 7x15x28;0.7;0.99;0.1;1;0.48
Gros œuvre;Matériaux de construction en terre cuite;Briques creuses;8T;0.3;0.99;0.1;1;0.48
Gros œuvre;Matériaux de construction en terre cuite;Tuiles;Traditionnel ou industriel;1;0.01;0.1;1;0.48
Gros œuvre;Produits issus des minéraux;Sables;Mer, Oued ou concassage;1;0.65;0.1;1;0.48
Gros œuvre;Produits issus des minéraux;Gravettes;5/15 - 15/25;1;0.3;0.1;1;0.48
Gros œuvre;Produits issus des minéraux;Moellons;Pierres;1;0.05;0.1;1;0.48
Gros œuvre;Acier;Acier à haute adhérence ;Diam 8 ou 10;0.3;0.85;0.3;1;0.48
Gros œuvre;Acier;Acier à haute adhérence ;Diam 12 àu 14;0.7;0.85;0.3;1;0.48
Gros œuvre;Acier;Acier doux;Diam 6;1;0.15;0.3;1;0.48
Étanchéité;Produits d'étanchéité;Bitume;Diam 6;1;0.4;1;0.07;0.52
Étanchéité;Produits d'étanchéité;Carton bitumé;27 S;0.7;0.6;1;0.07;0.52
