Region ;Agglomération;2015-2024
Tanger Tétouan Al Hoceima;Tanger;0.5855
Tanger Tétouan Al Hoceima;Tétouan;0.1177
Tanger Tétouan Al Hoceima;Al Hoceima;0.0416
Tanger Tétouan Al Hoceima;Larache;0.0712
Tanger Tétouan Al Hoceima;Chefchaouen;0.0176
Tanger Tétouan Al Hoceima;Fahs Anjra;0.011
Tanger Tétouan Al Hoceima;M'Diq Fnideq;0.1408
Tanger Tétouan Al Hoceima;Ouezzane;0.0146
Tanger Tétouan Al Hoceima;Total;0.1273
Oriental;Oujda;0.3496
Oriental;Berkane;0.1246
Oriental;Nador;0.2641
Oriental;Driouch;0.034
Oriental;Guercif;0.0752
Oriental;Taourirt;0.1025
Oriental;Jerada;0.0215
Oriental;Bouarfa;0.0285
Oriental;Total;0.0705
Fès Meknès;Fès;0.4158
Fès Meknès;Meknès;0.2669
Fès Meknès;Taza;0.0573
Fès Meknès;Sefrou;0.0596
Fès Meknès;Azrou;0.0259
Fès Meknès;El Hajeb;0.0565
Fès Meknès;Taounate;0.0222
Fès Meknès;Missour;0.0192
Fès Meknès;Ain Chkef;0.0766
Fès Meknès;Total;0.1184
Rabat Salé Kénitra;Rabat;0.0794
Rabat Salé Kénitra;Salé;0.3122
Rabat Salé Kénitra;Témara;0.2546
Rabat Salé Kénitra;Khémisset;0.0901
Rabat Salé Kénitra;Kénitra;0.1991
Rabat Salé Kénitra;Sidi Slimane;0.0326
Rabat Salé Kénitra;Sidi Kacem;0.032
Rabat Salé Kénitra;Total;0.1522
Béni Mellal Khénifra;Béni Mellal;0.2625
Béni Mellal Khénifra;Khouribga;0.3259
Béni Mellal Khénifra;Khénifra;0.1669
Béni Mellal Khénifra;Fquih Ben Salah;0.1704
Béni Mellal Khénifra;Azilal;0.0743
Béni Mellal Khénifra;Total;0.0463
Casablanca Settat;Casablanca;0.512
Casablanca Settat;Mohammadia;0.0636
Casablanca Settat;Nouaceur;0.1028
Casablanca Settat;Médiouna;0.0642
Casablanca Settat;Benslimane;0.0273
Casablanca Settat;Berrechid;0.1069
Casablanca Settat;Settat;0.0315
Casablanca Settat;El Jadida;0.0794
Casablanca Settat;Sidi Bennour;0.0123
Casablanca Settat;Total;0.2686
Marrakech Safi;Marrakech;0.495
Marrakech Safi;Safi;0.1038
Marrakech Safi;Essaouira;0.0445
Marrakech Safi;El Kelaâ des Sraghnas;0.1115
Marrakech Safi;Ben Guérir;0.0844
Marrakech Safi;Youssoufia;0.0268
Marrakech Safi;Chichaoua;0.0518
Marrakech Safi;Al Haouz;0.0822
Marrakech Safi;Total;0.076
Drâa Tafilalet;Errachidia;0.2966
Drâa Tafilalet;Ouarzazate;0.2625
Drâa Tafilalet;Zagora;0.069
Drâa Tafilalet;Tinghir;0.1269
Drâa Tafilalet;Midelt;0.245
Drâa Tafilalet;Total;0.0195
Souss Massa;Agadir;0.3351
Souss Massa;Inzegane Ait Melloul;0.2794
Souss Massa;Biougra;0.1688
Souss Massa;Taroudant;0.1322
Souss Massa;Tata;0.0113
Souss Massa;Tiznit;0.0732
Souss Massa;Total;0.0851
Guelmim Oued Noun;Guelmim;0.5147
Guelmim Oued Noun;Tan Tan;0.3682
Guelmim Oued Noun;Assa;0.0596
Guelmim Oued Noun;Sidi Ifni;0.0575
Guelmim Oued Noun;Total;0.0105
Laâyoune Sakia Al Hamra;Laâyoune;0.6719
Laâyoune Sakia Al Hamra;Boujdour;0.0751
Laâyoune Sakia Al Hamra;Tarfaya;0.0743
Laâyoune Sakia Al Hamra;Es-Semara;0.1787
Laâyoune Sakia Al Hamra;Total;0.0129
Eddakhla Oued Eddahab;Dakhla;0.9736
Eddakhla Oued Eddahab;Aoussred;0.0264
Eddakhla Oued Eddahab;Total;0.0127
Total général;Total;1
