Code commune;Noms_Comm;Nom_CommAr
1511010;Commune de Tanger;جماعة طنجة
15110101;Commune d'Assilah;جماعة أصيلة
15110109;Commune de Gueznaia;جماعة اكزناية
15110519;Commune de Hjar Ennhal;جماعة حجر النحل
15110507;Commune de Dar Chaoui;جماعة دار الشاوي
15110501;Commune d'Al Manzla;جماعة المنزلة
15110517;Commune de Laaouama;جماعة العوامة
15110505;Commune de Sebt Azzinate;جماعة سبت الزينات
15110303;Commune d'Aquouass Briech;جماعة اقواس برييش
15110315;Commune de Had Al Gharbia;جماعة حد الغربية
15110311;Commune de Sahel Chamali;جماعة الساحل الشمالي
15110313;Commune de Sidi Lyamani;جماعة سيدي اليمني
15730105;Commune de M'diq;جماعة المضيق
15730101;Commune de Fnideq;جماعة الفنيدق
15730103;Commune de Martil;جماعة مرتيل
15730107;Commune d'Allyene;جماعة عليين
15730109;Commune de Belyounech;جماعة بليونش
15710111;Commune de Tétouan;جماعة تطوان
15710107;Commune d'Oued Laou;جماعة واد لو
15710301;Commune d'Ain Lahsan;جماعة عين لحصن
15710319;Commune de Souk Kdim;جماعة سوق القديم
15710309;Commune de Jbel Lahbib;جماعة جبل لحبيب
15710307;Commune de Bni Harchen;جماعة بني حرشن
15710303;Commune d'Al Kharroub;جماعة الخروب
15710315;Commune de Mallalienne;جماعة الملاليين
15710317;Commune de Saddina;جماعة صدينة
15710321;Commune de Sahtryine;جماعة السحتريين
15710311;Commune de Bni Idder;جماعة بني يدر
15710305;Commune de Bghaghza;جماعة بغاغزة
15710513;Commune de Bni Leit;جماعة بني ليت
15710501;Commune d'Al Hamra;جماعة الحمراء
15710505;Commune d'Al Oued;جماعة الواد
15710519;Commune d'Oulad Ali Mansour;جماعة أولاد علي منصور
15710517;Commune de Dar Bni Karrich;جماعة دار بني قريش
15710527;Commune de Zinat;جماعة الزينات
15710507;Commune d'Azla;جماعة أزلا
15710523;Commune de Zaitoune;جماعة الزيتون
15710515;Commune de Bni Said;جماعة بني سعيد
15710525;Commune de Zaouiat Sidi Kacem;جماعة زاوية سيدي قاسم
12270509;Commune de Malloussa;جماعة ملوسة
12270501;Commune d'Al Bahraoyine;جماعة البحراويين
12270505;Commune de Ksar Sghir;جماعة القصر الصغير
12270311;Commune de Jouamaa;جماعة جوامعة
12270305;Commune d'Anjra;جماعة أنجرة
12270321;Commune de Taghramt;جماعة تغرامت
12270313;Commune de Ksar El Majaz;جماعة القصر المجاز
13310101;Commune de Ksar El Kebir;جماعة القصر الكبير
13310103;Commune de Larache;جماعة العرائش
13310705;Commune de Laouamra;جماعة العوامرة
13310717;Commune de Zouada;جماعة زوادة
