Code province;Noms_Prov;Nom_ProvAr
1511;Préfecture de Tanger-Assilah;عمالة طنجة-أصيلة
1573;Préfecture de M'diq-Fnideq;عمالة المضيق-الفنيدق
1571;Province de Tétouan;إقليم تطوان
1227;Province de Fahs-Anjra;إقليم الفحص-أنجرة
1331;Province de Larache;إقليم العرائش
1051;Province d'Al Hoceima;إقليم الحسيمة
1151;Province de Chefchaouen;إقليم شفشاون
1405;Province d'Ouezzane;إقليم وزان
2411;Préfecture d'Oujda-Angad;عمالة وجدة-أنجاد
2381;Province de Nador;إقليم الناضور
2167;Province de Driouch;إقليم الدريوش
2275;Province de Jerada;إقليم جرادة
2113;Province de Berkane;إقليم بركان
2533;Province de Taourirt;إقليم تاوريرت
2265;Province de Guercif;إقليم جرسيف
2251;Province de Figuig;إقليم فجيج
3231;Préfecture de Fès;عمالة فاس
3061;Préfecture de Meknès;عمالة مكناس
3171;Province d'El Hajeb;إقليم الحاجب
3271;Province d'Ifrane;إقليم إفران
3591;Province de Moulay Yacoub;إقليم مولاي يعقوب
3451;Province de Sefrou;إقليم صفرو
3131;Province de Boulemane;إقليم بولمان
3531;Province de Taounate;إقليم تاونات
3561;Province de Taza;إقليم تازة
4421;Préfecture de Rabat;عمالة الرباط
4441;Préfecture de Salé;عمالة سلا
4501;Préfecture de Skhirate-Témara;عمالة الصخيرات-تمارة
4281;Province de Kénitra;إقليم القنيطرة
4291;Province de Khémisset;إقليم الخميسات
4481;Province de Sidi Kacem;إقليم سيدي قاسم
4491;Province de Sidi Slimane;إقليم سيدي سليمان
5091;Province de Béni Mellal;إقليم بني ملال
5081;Province d'Azilal;إقليم أزيلال
5255;Province de Fquih Ben Salah;إقليم الفقيه بن صالح
5301;Province de Khénifra;إقليم خنيفرة
5311;Province de Khouribga;إقليم خريبكة
6141;Préfecture de Casablanca;عمالة الدار البيضاء
6371;Préfecture de Mohammadia;عمالة المحمدية
6181;Province d'El Jadida;إقليم الجديدة
6385;Province de Nouaceur;إقليم النواصر
6355;Province de Médiouna;إقليم مديونة
6111;Province de Benslimane;إقليم بنسليمان
6117;Province de Berrechid;إقليم برشيد
6461;Province de Settat;إقليم سطات
6467;Province de Sidi Bennour;إقليم سيدي بنور
7351;Préfecture de Marrakech;عمالة مراكش
7161;Province de Chichaoua;إقليم شيشاوة
7041;Province d'Al Haouz;إقليم الحوز
7191;Province d'El Kelâa Des-Sraghna;إقليم قلعة السراغنة
7211;Province d'Essaouira;إقليم الصويرة
7427;Province de Rehamna;إقليم الرحامنة
7431;Province de Safi;إقليم آسفي
7585;Province de Youssoufia;إقليم اليوسفية
8201;Province d'Errachidia;إقليم الرشيدية
8401;Province d'Ouarzazate;إقليم ورزازات
8363;Province de Midelt;إقليم ميدلت
8577;Province de Tinghir;إقليم تنغير
8587;Province de Zagora;إقليم زاكورة
9001;Préfecture d'Agadir-Ida-Ou-Tanane;عمالة أكادير-إدا وتنان
9273;Préfecture d'Inezgane-Aït Melloul;عمالة إنزكان-آيت ملول
9163;Province de Chtouka-Aït Baha;إقليم اشتوكة-آيت باها
9541;Province de Taroudannt;إقليم تارودانت
9581;Province de Tiznit;إقليم تيزنيت
9551;Province de Tata;إقليم طاطا
10261;Province de Guelmim;إقليم كلميم
10071;Province d'Assa-Zag;إقليم آسا-الزاك
10521;Province de Tan-Tan;إقليم طانطان
10473;Province de Sidi Ifni;إقليم سيدي إفني
11321;Province de Laâyoune;إقليم العيون
11121;Province de Boujdour;إقليم بوجدور
11537;Province de Tarfaya;إقليم طرفاية
11221;Province d'Es-Semara;إقليم السمارة
12391;Province d'Oued Ed-Dahab;إقليم وادي الذهب
12066;Province d'Aousserd;إقليم أوسرد
